id,year,state_name,state_code,district_name,district_code,registration_circles,murder,attempt_to_commit_murder,culpable_homicide_not_amounting_to_murder,attempt_to_commit_culpable_homicide,rape,attempt_to_commit_rape,kidnapping_and_abduction,dacoity,mkng_preparation_and_assembly_for_comm_dacoity,robbery,criminal_trespass_or_burglary,theft,unlawful_assembly,riots,criminal_breach_of_trust,cheating,forgery,counterfeiting,arson,grievous_hurt,dowry_deaths,assault_on_women,insult_to_the_modesty_of_women,cruelty_by_husband_or_his_relatives,importation_of_girls_from_foreign_country,causing_death_by_negligence,offences_against_state,offences_promoting_enmity_between_diff_grp,extortion,disclosure_of_identity_of_victims,incidence_of_rash_driving,human_trafficking,unnatural_offence,other_ipc_crimes
67,2016,Assam,18,Nalbari,298,Nalbari,10,28,0,0,37,0,98,4,0,26,103,200,52,9,94,43,65,1,19,207,1,81,0,180,0,53,0,0,25,0,206,1,0,535
68,2016,Assam,18,Kamrup Metro,618,R. P. O.,1,0,0,0,6,0,8,1,0,0,0,8,0,5,0,4,0,0,1,1,0,2,0,7,0,0,0,0,3,0,0,0,0,12
69,2016,Assam,18,Sivasagar,300,Sibsagar,41,50,0,5,25,10,242,2,0,20,114,363,26,4,22,105,13,0,15,279,3,139,0,233,0,49,0,0,46,0,70,3,0,667
70,2016,Assam,18,Sonitpur,301,Sonitpur,35,6,0,0,49,0,217,1,0,23,199,469,0,27,27,221,0,3,10,189,7,121,0,312,0,102,0,0,39,0,69,16,0,1646
71,2016,Assam,18,Tinsukia,302,Tinsukia,66,41,0,0,68,26,187,12,1,38,164,626,60,11,138,44,15,0,15,348,4,63,0,242,0,91,4,0,36,0,110,3,0,826
72,2016,Assam,18,Udalguri,617,Udalguri,33,29,0,0,23,24,83,0,0,15,65,158,0,8,23,10,1,6,11,228,2,29,0,58,0,82,0,0,28,0,66,11,0,169
73,2016,Assam,18,Tinsukia,302,Sadia,1,1,0,0,10,0,17,1,0,4,8,16,0,9,1,9,0,0,4,27,0,2,0,9,0,4,0,0,2,0,5,0,0,73
74,2016,Assam,18,Majuli,706,Majuli,1,3,0,0,9,3,15,0,0,4,6,13,0,0,0,12,2,0,1,62,0,3,0,1,0,2,0,0,0,0,2,0,0,72
75,2016,Assam,18,Biswanath,705,Biswanath,44,14,0,0,42,0,135,11,0,7,62,162,0,14,13,32,0,0,8,111,6,14,0,101,0,101,0,0,11,0,0,1,0,453
76,2016,Assam,18,Hojai,709,Hojai,29,30,4,0,43,2,157,7,0,18,125,192,98,44,13,169,33,0,30,324,6,28,1,293,0,55,2,0,31,0,82,0,1,674
77,2016,Assam,18,South Salmara Mancachar,707,South Salmara,14,49,0,1,63,11,92,6,0,1,51,113,0,110,26,20,9,2,23,150,6,15,1,301,0,8,0,0,16,0,35,0,0,464
78,2016,Assam,18,Charaideo,708,Charaideo,21,7,0,0,8,0,91,0,0,4,29,98,0,5,5,14,0,0,6,63,0,5,0,23,0,23,0,0,4,0,9,1,0,233
79,2016,Bihar,10,Araria,188,Araria,60,321,86,73,51,14,160,3,1,28,65,384,0,315,26,20,35,0,15,150,11,1,0,76,0,55,0,0,14,0,80,1,0,1659
80,2016,Bihar,10,Arwal,611,Arwal,10,107,0,0,4,0,34,2,0,7,27,83,7,58,5,45,11,0,1,0,9,4,0,23,0,27,0,0,3,0,24,0,0,445
94,2016,Bihar,10,Jamui,198,Jamui,54,202,0,0,10,0,53,6,0,17,50,98,0,158,6,44,0,0,4,5,14,17,0,50,0,115,0,0,15,0,178,0,0,984
81,2016,Bihar,10,Aurangabad,189,Aurangabad,48,147,5,29,10,5,52,2,5,25,60,240,0,197,64,121,23,0,5,49,17,17,0,44,0,155,0,0,19,0,83,0,0,1146
82,2016,Bihar,10,Pashchim Champaran,211,Bagaha,31,41,0,0,8,0,87,1,1,6,29,88,0,54,33,51,19,0,2,17,9,0,0,23,0,28,0,0,0,0,24,3,1,967
83,2016,Bihar,10,Banka,190,Banka,49,156,1,155,10,3,86,7,0,19,28,166,0,164,18,47,19,0,36,187,20,0,0,39,0,105,0,0,11,0,72,0,0,2007
