id,year,state_name,state_code,district_name,district_code,registration_circles,rape,attempt_to_commit_rape,kidnapping_and_abduction,dowry_deaths,assault_on_women,insult_to_the_modesty_of_women,cruelty_by_husband_relatives,importation_of_girls_from_foreign,abetment_of_suicides_of_women,dowry_prohibition,indecent_representation_of_women,protection_of_women_from_domestic_violence,immoral_traffic_prevention,acid_attack,attempt_to_acid_attack,deaths_caused_with_intent_to_cause_miscarriage,causing_miscarriage_without_consent_of_women,human_trafficking,un_natural_offences
488,2016,Nagaland,13,Wokha,250,Wokha,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
489,2016,Nagaland,13,Zunheboto,251,Zunheboto,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
490,2016,Odisha,21,Anugul,344,Angul,68,6,69,6,255,28,130,0,0,21,0,0,5,0,0,0,0,5,0
491,2016,Odisha,21,Baleshwar,346,Balasore,112,11,205,48,708,20,106,0,0,0,2,0,0,1,0,0,0,5,0
492,2016,Odisha,21,Bargarh,347,Baragarh,62,6,57,10,489,14,143,0,0,0,0,0,0,0,0,0,0,2,0
493,2016,Odisha,21,Baleshwar,346,Berhampur,30,0,50,7,203,24,24,0,0,74,0,0,2,0,0,0,0,2,0
494,2016,Odisha,21,Bhadrak,348,Bhadrak,87,11,115,19,382,16,50,0,0,204,0,0,2,1,0,0,0,0,0
495,2016,Odisha,21,Balangir,345,Bolangir,74,1,98,0,370,15,221,0,0,0,0,0,0,1,0,0,0,4,0
496,2016,Odisha,21,Boudh,349,Boudh,21,2,20,4,102,9,32,0,0,39,0,0,0,0,0,0,0,2,0
497,2016,Odisha,21,Cuttack,350,Cuttack,45,2,59,25,102,3,44,0,0,132,0,0,0,0,0,0,0,0,0
498,2016,Odisha,21,Khordha,362,Dcp Bbsr,71,6,139,25,266,12,116,0,0,0,0,0,19,2,0,0,0,7,0
499,2016,Odisha,21,Cuttack,350,Dcp Ctc,63,1,82,13,117,4,174,0,0,174,0,0,0,1,0,0,0,3,0
500,2016,Odisha,21,Deogarh,351,Deogarh,27,3,22,1,100,4,23,0,0,32,0,0,0,0,0,0,0,0,0
501,2016,Odisha,21,Dhenkanal,352,Dhenkanal,38,2,60,0,375,16,36,0,0,0,0,0,0,0,0,0,0,0,0
502,2016,Odisha,21,Gajapati,353,Gajapati,24,0,6,4,58,6,20,0,2,28,0,0,0,0,0,0,0,4,0
503,2016,Odisha,21,Ganjam,354,Ganjam,57,1,84,20,354,50,121,0,0,0,0,0,0,1,0,0,0,2,0
504,2016,Odisha,21,Jagatsinghapur,355,Jagatsinghpur,38,8,84,21,281,10,125,0,0,0,0,0,0,0,0,0,0,0,0
505,2016,Odisha,21,Jajapur,356,Jajpur,82,15,111,41,281,6,69,0,0,172,0,0,0,0,0,0,0,0,0
506,2016,Odisha,21,Jharsuguda,357,Jharsuguda,26,0,37,2,103,1,24,0,0,24,0,0,0,0,0,0,0,0,1
507,2016,Odisha,21,Kalahandi,358,Kalahandi,69,4,72,8,390,18,47,0,0,0,0,0,0,0,0,0,0,6,0
508,2016,Odisha,21,Kandhamal,359,Kandhamal,89,5,54,5,179,15,52,0,0,77,0,0,0,1,0,0,0,5,0
509,2016,Odisha,21,Kendrapara,360,Kendrapara,61,18,86,24,176,27,261,0,0,0,0,0,0,0,0,0,0,1,0
510,2016,Odisha,21,Kendujhar,361,Keonjhar,89,7,111,11,389,13,65,0,0,0,1,0,0,0,0,0,0,1,0
511,2016,Odisha,21,Khordha,362,Khurda,40,3,45,17,154,15,36,0,0,0,0,0,0,0,0,0,0,0,0
512,2016,Odisha,21,Koraput,363,Koraput,103,4,25,2,262,8,98,0,0,80,0,0,0,0,0,0,0,1,0
513,2016,Odisha,21,Malkangiri,364,Malkangiri,35,1,47,2,91,9,32,0,0,0,0,0,0,0,0,0,0,4,0
514,2016,Odisha,21,Mayurbhanj,365,Mayurbhanj,146,14,96,0,308,22,200,0,3,0,0,0,0,0,0,0,0,5,0
515,2016,Odisha,21,Nayagarh,367,Nayagarh,35,7,36,15,94,4,22,0,0,0,0,0,3,1,0,0,0,0,0
516,2016,Odisha,21,Nabarangpur,366,Nabarangpur,82,3,38,5,267,22,106,0,0,34,0,0,0,0,0,0,0,1,0
517,2016,Odisha,21,Nuapada,368,Nuapada,24,2,34,5,150,4,48,0,0,31,0,0,0,0,0,0,0,0,0
518,2016,Odisha,21,Puri,369,Puri,70,4,110,31,394,12,63,0,0,137,0,0,6,2,0,0,0,0,0
519,2016,Odisha,21,Rayagada,370,Rayagada,49,5,57,11,106,4,63,0,0,0,0,0,0,0,0,0,0,1,0
520,2016,Odisha,21,Sundargarh,373,Rourkela,45,4,84,1,215,9,80,0,0,70,0,0,0,0,0,0,0,0,0
521,2016,Odisha,21,Sambalpur,371,Sambalpur,61,3,41,7,284,12,45,0,0,71,0,0,1,0,0,0,0,0,0
522,2016,Odisha,21,Sonepur,372,Sonepur,10,0,14,6,108,1,38,0,0,0,0,0,0,0,0,0,0,0,0
523,2016,Odisha,21,Cuttack,350,Srp (Cuttack),1,1,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0
524,2016,Odisha,21,Sundargarh,373,Srp (Rourkela),1,0,2,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
525,2016,Odisha,21,Sundargarh,373,Sundargarh,47,1,38,1,130,3,67,0,0,0,0,0,0,1,0,0,0,4,0
526,2016,Odisha,21,Cuttack,350,"Cid, Cb",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
527,2016,Punjab,3,Amritsar,27,Amritsar Rural,29,6,66,5,46,0,46,0,0,0,0,0,0,0,0,0,0,0,1
528,2016,Punjab,3,Barnala,605,Barnala,12,4,37,0,34,0,25,0,2,0,0,0,1,0,0,0,0,0,0
529,2016,Punjab,3,Gurdaspur,32,Batala,21,4,29,4,22,0,35,0,0,0,0,1,0,1,0,0,0,0,0
530,2016,Punjab,3,Bathinda,28,Bathinda,41,3,57,10,78,2,64,0,9,0,0,0,6,0,0,0,0,0,2
531,2016,Punjab,3,Amritsar,27,Cp Amritsar,35,2,69,2,42,0,81,0,11,1,0,0,9,1,0,0,0,0,0
532,2016,Punjab,3,Jalandhar,34,Cp Jalandhar,36,2,63,2,75,0,167,0,9,0,0,0,7,1,0,0,0,0,1
533,2016,Punjab,3,Ludhiana,36,Cp Ludhiana,88,13,148,6,121,3,179,0,19,1,0,1,8,0,0,0,0,0,0
534,2016,Punjab,3,Faridkot,29,Faridkot,13,1,14,2,24,1,19,0,4,0,0,0,2,0,0,0,0,0,0
535,2016,Punjab,3,Fatehgarh Sahib,30,Fatehgarh Sahib,22,0,29,0,14,0,29,0,5,0,0,0,0,0,0,0,0,0,0
536,2016,Punjab,3,Fazilka,651,Fazilka,49,3,30,3,27,1,31,0,5,0,0,0,4,1,0,0,0,1,1
